"CA" "PAP"
65 51
52 60
48 40
59 40
46 53
56 62
67 56
57 59
54 63
45 54
56 58
46 58
26 33
28 41
61 53
38 52
53 56
64 61
71 47
58 66
67 69
62 67
72 59
47 52
26 46
28 57
47 56
51 48
49 54
49 45
61 58
44 38
56 49
82 48
63 38
50 43
53 60
38 51
42 65
62 54
44 62
55 49
74 56
66 57
50 56
47 52
78 80
52 69
56 64
67 60
64 63
51 56
52 60
43 51
56 56
47 48
55 38
58 68
43 73
48 61
58 60
34 16
64 69
53 44
64 52
62 49
61 59
47 53
69 62
52 44
52 50
69 63
59 37
59 60
63 71
69 74
74 65
53 55
51 55
46 70
41 31
53 67
57 48
55 71
56 66
38 51
63 52
31 49
68 76
38 52
63 56
41 43
71 63
47 57
49 48
65 52
53 55
42 50
41 54
41 52
53 40
57 61
