"figli" "attegg"
"si" 72
"si" 69
"si" 74
"si" 74
"si" 65
"si" 68
"si" 73
"si" 66
"si" 61
"si" 65
"si" 67
"si" 70
"si" 66
"si" 75
"si" 83
"si" 57
"si" 50
"si" 87
"si" 74
"si" 63
"si" 73
"si" 78
"si" 42
"si" 79
"si" 66
"si" 69
"si" 77
"si" 63
"si" 67
"si" 63
"si" 70
"si" 70
"si" 58
"si" 74
"si" 60
"si" 62
"no" 57
"no" 58
"no" 85
"no" 90
"no" 65
"no" 76
"no" 74
"no" 69
"no" 84
"no" 72
"no" 66
"no" 69
"no" 67
"no" 84
"no" 75
"no" 77
"no" 82
"no" 81
"no" 73
"no" 84
"no" 75
"no" 79
"no" 80
"no" 60
"no" 82
"no" 79
"no" 91
"no" 64
"no" 76
"no" 86
"no" 66
"no" 77
"no" 65
"no" 83
"no" 81
"no" 74
