"member" "trait" "use"
"1" "yes" "Ex" 2.853
"2" "yes" "Ex" 3.064
"3" "yes" "Ex" 3.879
"4" "yes" "Ex" 3.529
"5" "yes" "Ex" 3.654
"6" "yes" "Ex" 3.782
"7" "yes" "Ex" 3.616
"8" "yes" "Ex" 2.451
"9" "yes" "Ex" 3.672
"10" "yes" "Ex" 3.376
"11" "yes" "Ex" 3.94
"12" "yes" "Ex" 3.543
"13" "yes" "Ex" 3.952
"14" "yes" "Ex" 4.012
"15" "yes" "Ex" 2.585
"16" "yes" "Ex" 4.329
"17" "yes" "Ex" 3.79
"18" "yes" "Ex" 3.031
"19" "yes" "Ex" 2.781
"20" "yes" "Ex" 2.83
"21" "yes" "Ex" 2.583
"22" "yes" "Ex" 3.656
"23" "yes" "Ex" 4.761
"24" "yes" "Ex" 3.145
"25" "yes" "Ex" 4.366
"26" "no" "Ex" 3.756
"27" "no" "Ex" 2.62
"28" "no" "Ex" 2.53
"29" "no" "Ex" 3.108
"30" "no" "Ex" 3.534
"31" "no" "Ex" 3.734
"32" "no" "Ex" 3.521
"33" "no" "Ex" 3.259
"34" "no" "Ex" 3.974
"35" "no" "Ex" 3.147
"36" "no" "Ex" 1.995
"37" "no" "Ex" 2.752
"38" "no" "Ex" 2.927
"39" "no" "Ex" 2.354
"40" "no" "Ex" 3.525
"41" "no" "Ex" 2.84
"42" "no" "Ex" 3.305
"43" "no" "Ex" 3.726
"44" "no" "Ex" 2.64
"45" "no" "Ex" 2.782
"46" "no" "Ex" 3.074
"47" "no" "Ex" 3.64
"48" "no" "Ex" 2.749
"49" "no" "Ex" 3.416
"50" "no" "Ex" 3.106
"51" "yes" "In" 1.997
"52" "yes" "In" 3.467
"53" "yes" "In" 3.786
"54" "yes" "In" 3.72
"55" "yes" "In" 2.84
"56" "yes" "In" 3.397
"57" "yes" "In" 3.142
"58" "yes" "In" 2.429
"59" "yes" "In" 4.716
"60" "yes" "In" 3.038
"61" "yes" "In" 4.302
"62" "yes" "In" 3.235
"63" "yes" "In" 4.231
"64" "yes" "In" 2.997
"65" "yes" "In" 3.398
"66" "yes" "In" 3.498
"67" "yes" "In" 1.776
"68" "yes" "In" 3.035
"69" "yes" "In" 4.412
"70" "yes" "In" 2.213
"71" "yes" "In" 3.075
"72" "yes" "In" 3.946
"73" "yes" "In" 3.318
"74" "yes" "In" 4.636
"75" "yes" "In" 4.608
"76" "no" "In" 3.437
"77" "no" "In" 4.062
"78" "no" "In" 2.432
"79" "no" "In" 3.421
"80" "no" "In" 3.94
"81" "no" "In" 4.095
"82" "no" "In" 4.896
"83" "no" "In" 2.774
"84" "no" "In" 4.246
"85" "no" "In" 3.127
"86" "no" "In" 2.543
"87" "no" "In" 3.797
"88" "no" "In" 3.459
"89" "no" "In" 3.904
"90" "no" "In" 3.174
"91" "no" "In" 4.463
"92" "no" "In" 4.074
"93" "no" "In" 3.407
"94" "no" "In" 3.728
"95" "no" "In" 2.892
"96" "no" "In" 3.577
"97" "no" "In" 4.946
"98" "no" "In" 3.521
"99" "no" "In" 4.241
"100" "no" "In" 5.302
