"attitude" "sex"
1.36 "m"
2.95 "m"
1.68 "m"
1.99 "m"
3.63 "m"
2.92 "m"
2.23 "m"
1.37 "m"
1.73 "m"
2.51 "m"
1.38 "m"
3.83 "m"
2.42 "m"
2.4 "m"
1.92 "m"
1.65 "m"
2.22 "m"
2.12 "m"
2.02 "m"
3.75 "m"
2.5 "m"
2.68 "m"
0.94 "m"
2.1 "m"
1.75 "m"
1.71 "m"
0.51 "m"
2.94 "m"
1.5 "m"
0.54 "m"
2.67 "m"
2.78 "m"
2.1 "m"
1.92 "m"
1.58 "m"
1.6 "m"
1.79 "m"
2.74 "m"
2.19 "m"
3.56 "m"
0.72 "m"
0.81 "m"
4.08 "m"
3.08 "m"
2.05 "m"
2.32 "m"
2.09 "m"
0.72 "m"
2.28 "m"
1.04 "m"
1.83 "m"
1.94 "m"
1.71 "m"
1.74 "m"
1.8 "m"
2.82 "m"
1.44 "m"
3.02 "m"
2.82 "m"
2.14 "m"
1.75 "m"
1.28 "m"
1.24 "m"
2.24 "m"
3.74 "m"
2.35 "m"
2.69 "m"
2.7 "m"
1.31 "m"
1.75 "m"
2.65 "m"
1.17 "m"
0.54 "m"
1.32 "m"
3.29 "m"
2.21 "m"
1.05 "m"
3.76 "m"
1.3 "m"
2.2 "m"
2.88 "m"
0.8 "m"
3.95 "m"
2.01 "m"
1.53 "m"
1.47 "m"
2.93 "m"
2.99 "m"
3.23 "m"
2.12 "m"
2.11 "m"
1.56 "m"
3.3 "m"
1.38 "m"
2.95 "m"
2.18 "m"
2.2 "m"
2.31 "m"
2.45 "m"
1.27 "m"
3.55 "m"
2 "m"
2.11 "m"
2.31 "m"
2.07 "m"
2.1 "m"
3.07 "m"
2.13 "m"
1.74 "m"
2.6 "m"
1.6 "m"
1.81 "m"
2.21 "m"
3.14 "m"
1.31 "m"
3.36 "m"
3.17 "m"
2.28 "m"
2.65 "m"
2.37 "m"
0.71 "m"
1.44 "m"
2.61 "m"
1.55 "m"
0.56 "m"
2.32 "m"
2.12 "m"
3.6 "m"
1.1 "m"
2.27 "m"
1.5 "m"
1.61 "m"
1.97 "m"
3.21 "m"
2.7 "m"
1.67 "m"
1.98 "m"
1.23 "m"
1.53 "m"
3.09 "m"
1.35 "m"
1.8 "m"
1.78 "m"
0.97 "m"
2.41 "m"
2.11 "m"
1.98 "m"
1.18 "m"
2.01 "m"
2.25 "m"
2.53 "m"
0.98 "m"
2.19 "m"
2.79 "m"
2.05 "m"
1.67 "m"
1.92 "m"
1.91 "m"
3.37 "m"
1.58 "m"
2.28 "m"
2.58 "m"
2.3 "m"
3.35 "m"
1.85 "m"
1.99 "f"
1.95 "f"
3.55 "f"
2.09 "f"
2.31 "f"
2.71 "f"
2.7 "f"
1.63 "f"
2.72 "f"
2.22 "f"
2.3 "f"
2.55 "f"
2.23 "f"
1.83 "f"
2.41 "f"
3.08 "f"
2.47 "f"
3.48 "f"
2.4 "f"
3 "f"
2.63 "f"
3.65 "f"
1.55 "f"
1.75 "f"
1.66 "f"
1.65 "f"
1.55 "f"
1.98 "f"
2.23 "f"
2.79 "f"
2.76 "f"
1.78 "f"
2.47 "f"
2.57 "f"
2.32 "f"
1.03 "f"
2.3 "f"
3.56 "f"
3.28 "f"
1.66 "f"
2.69 "f"
3.44 "f"
2.73 "f"
2.7 "f"
1.81 "f"
4 "f"
2.06 "f"
1.72 "f"
2.15 "f"
2.57 "f"
2.89 "f"
3.11 "f"
2.92 "f"
1.66 "f"
2.59 "f"
2.97 "f"
2.98 "f"
1.74 "f"
1.36 "f"
2.24 "f"
1.54 "f"
2.26 "f"
1.2 "f"
1.67 "f"
3.39 "f"
2.86 "f"
2.46 "f"
1.38 "f"
1.83 "f"
2.86 "f"
3.39 "f"
2.4 "f"
2.93 "f"
2.26 "f"
2.59 "f"
1.94 "f"
2.21 "f"
2.48 "f"
2.06 "f"
2.9 "f"
2.3 "f"
2.16 "f"
1.38 "f"
2.62 "f"
3.04 "f"
3.39 "f"
2.86 "f"
1.58 "f"
2.17 "f"
2.97 "f"
2.04 "f"
2.36 "f"
1.95 "f"
2.04 "f"
2.29 "f"
2 "f"
2.17 "f"
1.36 "f"
1.67 "f"
2.21 "f"
1.69 "f"
2.62 "f"
2.16 "f"
1.36 "f"
2.32 "f"
1.62 "f"
1.47 "f"
2.49 "f"
2.48 "f"
1.64 "f"
2.36 "f"
3.31 "f"
2.53 "f"
1.17 "f"
3.13 "f"
2.12 "f"
2.09 "f"
2.73 "f"
1.89 "f"
2.45 "f"
1.77 "f"
2.97 "f"
2.95 "f"
2.65 "f"
2.22 "f"
2.59 "f"
1.38 "f"
2.62 "f"
1.2 "f"
1.38 "f"
1.81 "f"
2.56 "f"
3.77 "f"
2.4 "f"
1.97 "f"
4.19 "f"
3.6 "f"
1.76 "f"
0.9 "f"
2.91 "f"
1.19 "f"
3.09 "f"
3.05 "f"
1.41 "f"
2.22 "f"
0.64 "f"
1.53 "f"
1.96 "f"
2.82 "f"
2.25 "f"
2.33 "f"
2.84 "f"
2.58 "f"
2.37 "f"
2.97 "f"
2.11 "f"
2.24 "f"
2.22 "f"
1.71 "f"
2.73 "f"
2.61 "f"
3.96 "f"
2.55 "f"
2.65 "f"
1.97 "f"
1.74 "f"
3.05 "f"
1.85 "f"
2.48 "f"
1.99 "f"
3.07 "f"
1.7 "f"
2.08 "f"
2.38 "f"
3.23 "f"
2.91 "f"
2.4 "f"
4.51 "f"
1.72 "f"
2.09 "f"
2.93 "f"
1.85 "f"
2.63 "f"
2.23 "f"
3.49 "f"
2.56 "f"
1.09 "f"
2.86 "f"
3.31 "f"
3.38 "f"
1.79 "f"
3.13 "f"
2.8 "f"
1.38 "f"
1.38 "f"
2.46 "f"
2.78 "f"
3 "f"
1.45 "f"
2.9 "f"
2.64 "f"
3.65 "f"
2.51 "f"
2.85 "f"
2.27 "f"
1.54 "f"
3.18 "f"
3.96 "f"
3.4 "f"
1.79 "f"
0.86 "f"
2.5 "f"
2.7 "f"
3.33 "f"
2.6 "f"
2.06 "f"
1.87 "f"
3.12 "f"
2.24 "f"
1.24 "f"
2.8 "f"
3.46 "f"
3.89 "f"
1.41 "f"
3.72 "f"
2.19 "f"
3.37 "f"
2.39 "f"
2.56 "f"
1.82 "f"
2.14 "f"
2.06 "f"
2.77 "f"
2.35 "f"
1.02 "f"
2.43 "f"
2.1 "f"
1.74 "f"
2.94 "f"
2.27 "f"
2.45 "f"
1.84 "f"
1.93 "f"
3.23 "f"
2.92 "f"
2.98 "f"
1.41 "f"
2.13 "f"
1.39 "f"
1.75 "f"
1.92 "f"
2.86 "f"
2.14 "f"
