"cat.comp" "comp.ling"
"assenti" 7.93
"assenti" 1.03
"assenti" 10.05
"assenti" 16.95
"assenti" 12.82
"assenti" 0
"assenti" 19.7
"assenti" 10.54
"assenti" 12.91
"assenti" 13.93
"assenti" 15.21
"assenti" 17.05
"assenti" 11.29
"assenti" 1.34
"cercati" 8.06
"cercati" 14.87
"cercati" 4.81
"cercati" 7.46
"cercati" 11.43
"cercati" 3.99
"cercati" 9.49
"cercati" 14.8
"cercati" 9.81
"cercati" 11.03
"cercati" 12.56
"cercatori" 12.26
"cercatori" 17.87
"cercatori" 10.2
"cercatori" 13.77
"cercatori" 14.41
"cercatori" 13.15
"cercatori" 9.11
"cercatori" 15.81
"cercatori" 14.54
"cercatori" 18.13
"cercatori" 10.06
"medi" 15.18
"medi" 13.1
"medi" 7.8
"medi" 9.49
"medi" 9.09
"medi" 17.3
"medi" 12.37
"medi" 6.21
"medi" 9.39
"medi" 11.61
"medi" 12.8
"medi" 15.98
"medi" 8.29
"medi" 12.99
"medi" 8.22
"medi" 10.02
"medi" 9.99
"medi" 9.39
"medi" 18.74
"medi" 17.51
"medi" 17.04
"medi" 15.59
"medi" 8.95
"medi" 6.74
"medi" 14.1
"medi" 13.91
"medi" 14.17
"medi" 12.5
"medi" 14.02
"medi" 15.29
"medi" 18.32
"medi" 15.03
"medi" 9.17
"medi" 14.27
"medi" 10.37
"presenti" 19.85
"presenti" 14.04
"presenti" 10.31
"presenti" 12.27
"presenti" 12.45
"presenti" 19.45
"presenti" 17.9
"presenti" 17.63
"presenti" 22.2
"presenti" 5.6
