"fac" "punt"
1 20
1 20
1 19
1 18
1 16
1 20
1 18
1 20
1 26
1 21
1 20
1 21
1 20
1 23
1 22
1 20
1 17
1 18
1 19
1 21
1 24
1 22
1 16
1 19
1 20
1 23
1 19
1 17
1 16
1 23
1 20
1 23
1 18
1 16
1 19
1 21
1 20
1 20
1 18
1 22
1 25
1 18
1 19
1 22
1 23
1 22
1 19
1 21
1 22
1 23
1 19
1 24
1 22
1 22
1 18
1 17
1 18
1 23
1 21
1 24
1 19
1 21
1 21
1 20
1 17
1 20
1 17
1 24
1 22
1 17
1 21
1 15
1 21
1 23
1 19
1 20
1 21
1 19
1 20
1 21
1 20
1 21
1 20
1 22
1 16
1 14
1 20
1 22
1 19
1 24
1 16
1 20
1 20
1 21
1 20
1 16
1 20
1 21
1 18
1 23
1 23
1 23
1 22
1 21
1 21
1 26
1 22
1 17
1 20
1 23
1 20
1 19
1 21
1 21
1 22
1 22
1 18
1 22
1 17
1 20
1 20
1 18
1 19
1 14
1 24
1 20
1 20
1 22
1 18
1 22
1 21
1 21
1 15
1 22
1 19
1 24
1 15
1 24
1 20
1 19
1 19
1 20
1 19
1 19
1 17
1 24
1 25
1 18
1 16
1 20
1 21
1 19
1 19
1 21
1 21
1 22
1 18
1 19
1 18
1 17
1 21
1 20
1 17
1 25
1 20
1 16
1 19
1 21
1 18
1 21
1 18
1 23
1 18
1 25
1 21
1 20
1 22
1 24
1 22
1 21
1 23
1 22
1 18
1 18
1 20
1 17
1 21
1 24
1 22
1 19
1 20
1 23
1 21
1 23
1 23
1 19
1 20
1 23
1 23
1 21
1 21
1 21
1 22
1 23
1 21
1 22
1 17
1 23
1 22
1 20
1 17
1 21
1 19
1 20
1 24
1 20
1 18
1 20
1 19
1 18
1 22
1 23
1 19
1 24
1 22
1 23
1 20
1 16
1 23
1 22
1 22
1 24
1 16
1 17
1 16
1 16
1 19
1 23
1 16
1 20
1 24
1 18
1 19
1 20
1 21
1 18
1 20
1 16
1 22
1 22
1 21
1 18
1 19
1 22
1 19
1 19
1 17
1 21
1 24
1 22
1 20
1 21
1 17
1 15
1 19
1 20
1 19
1 26
1 21
1 22
1 21
1 20
1 23
1 20
1 21
1 18
1 21
1 15
1 23
1 19
1 18
1 20
1 16
1 21
1 17
1 16
1 24
1 19
1 19
1 19
1 17
1 18
1 23
1 21
1 23
1 20
1 20
1 23
1 18
1 21
2 12
2 13
2 21
2 16
2 20
2 22
2 20
2 18
2 19
2 14
2 12
2 19
2 19
2 11
2 27
2 15
2 13
2 19
2 17
2 14
2 23
2 21
2 26
2 13
2 25
2 12
2 18
2 22
2 17
2 8
2 12
2 17
2 11
2 17
2 13
2 26
2 18
2 20
2 9
2 21
2 27
2 14
2 25
2 17
2 13
2 25
2 10
2 14
2 9
2 20
2 13
2 20
2 23
2 17
2 21
2 11
2 12
2 14
2 14
2 17
2 24
2 13
2 25
2 19
2 7
2 12
2 30
2 18
2 20
2 11
2 15
2 25
2 20
2 13
2 18
2 12
2 12
2 14
2 13
2 17
2 23
2 22
2 23
2 18
2 19
2 25
2 15
2 19
2 15
2 13
2 22
2 18
2 13
2 9
2 15
2 15
2 20
2 24
2 13
2 22
2 30
2 15
2 21
2 7
2 17
2 13
2 14
2 19
2 20
2 15
2 27
2 24
2 16
2 23
2 12
2 20
2 21
2 20
2 20
2 23
2 14
2 23
2 23
2 14
2 23
2 16
2 19
2 19
2 13
2 19
2 19
2 12
2 20
2 19
2 10
2 21
2 13
2 15
2 14
2 23
2 11
2 22
2 23
2 11
2 22
2 25
2 16
2 24
2 21
2 27
2 17
2 22
2 20
2 20
2 24
2 24
2 10
2 13
2 12
2 16
2 17
2 28
2 13
2 14
2 20
2 10
2 13
2 24
2 13
2 18
2 18
2 23
2 24
2 10
2 15
2 18
2 14
2 14
2 25
2 20
2 19
2 24
2 15
2 18
2 19
2 15
2 11
2 17
2 20
2 18
2 15
2 20
2 20
2 29
2 23
2 18
2 19
2 22
2 18
2 14
2 23
2 25
2 16
2 15
2 20
2 17
2 14
2 15
2 17
2 15
2 21
2 22
2 17
2 22
2 20
2 20
2 14
2 14
2 9
2 17
2 12
2 17
2 13
2 19
2 22
2 21
2 24
2 13
2 16
2 23
2 9
2 21
2 27
2 15
2 14
2 18
2 26
2 18
2 14
2 17
2 12
2 16
2 21
2 16
2 17
2 9
2 17
2 16
2 12
2 11
2 18
2 25
2 24
2 26
2 24
2 21
2 19
2 24
2 13
2 25
2 17
2 21
2 15
2 13
2 9
2 13
2 17
2 16
2 28
2 16
2 19
2 24
2 18
2 19
2 15
2 19
2 20
2 18
2 16
2 10
2 23
2 11
2 17
2 19
2 18
2 21
2 24
2 21
2 21
2 21
2 17
2 22
2 15
2 24
2 12
2 12
2 25
2 17
2 16
2 22
